number_of_beans,country_of_bean_origin,Continent
157,Madagascar,Africa
200,Dominican republic,North America
63,Tanzania,Africa
207,Peru,South America
71,Bolivia,South America
238,Venezuela,South America
194,Ecuador,South America
74,Brazil,South America
48,Papua new guinea,Oceania
1,Myanma,Asia
9,Panama,North America
65,Colombia,South America
12,Cuba,North America
3,Togo,Africa
16,Sao tome,Africa
45,united mexican states,North America
15,Fiji,Oceania
12,Vanuatu,Oceania
17,Indonesia,Asia
38,Trinidad,North America
64,Vietnam,Asia
92,Nicaragua,North America
32,Ghana,Africa
65,Belize,North America
140,Blend,
17,Grenada,North America
23,Jamaica,North America
53,Guatemala,North America
42,Costa rica,North America
23,Honduras,North America
24,Haiti,North America
20,India,Asia
13,Congo,Africa
19,Philippines,Asia
10,Solomon islands,Oceania
10,Uganda,Africa
7,Malaysia,Asia
3,Sri lanka,Asia
4,Ivory coast,Africa
1,Gabon,Africa
2,Taiwan,Asia
6,Puerto rico,North America
1,Martinique,North America
9,St. lucia,North America
3,Australia,Oceania
3,Liberia,Africa
3,Sierra leone,Africa
2,Nigeria,Africa
28,United States of America,North America
1,St.vincent-grenadines,North America
5,Thailand,Asia
1,Tobago,North America
1,Bolvia,South America
1,Sumatra,Asia
6,El salvador,North America
3,Cameroon,Africa
3,Samoa,Oceania
1,Sao tome & principe,Africa
3,Principe,Africa
1,Sulawesi,Asia
1,Suriname,South America
1,Dr congo,Africa
