review_date,cocoa_percent_min,cocoa_percent_max,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
2006,53,99,66,70,70,70,75,88,63,70,70,70,63,75,63,76,70
2007,60,91,75,70,72,55,75,72,70,63,70,70,60,70,70,76,74
2008,55,100,75,70,68,70,70,80,70,70,70,70,60,70,70,76,70
2009,55,91,75,70,75,70,70,60,72,70,70,70,60,70,75,70,70
2010,46,85,75,70,71,70,70,75,70,70,70,70,60,70,70,70,70
2011,55,88,75,70,70,85,60,70,70,70,75,70,60,70,70,70,70
2012,55,90,75,63,70,70,50,72,70,70,65,68,75,70,70,70,73
2013,42,100,70,70,70,85,75,72,70,70,75,66,70,70,70,70,70
2014,55,90,70,70,70,72,85,72,70,70,75,75,70,70,70,70,70
2015,57,100,70,70,75,80,72,70,70,70,75,63,70,73,70,70,70
2016,60,100,70,75,75,75,72,72,80,70,75,70,70,70,70,70,70
2017,60,81,70,75,63,72,72,72,55,75,75,64,70,72,70,72,75
2018,63,85,68,66,71,75,72,72,72,75,72,70,70,80,70,82,70
2019,65,85,72,72,82,72,71,72,70,80,70,70,73,72,70,72,65
2020,65,75,64,70,91,77,64,64,70,60,70,70,70,73,70,70,70
,,,65,71,55,65,64,88,72,60,75,70,70,70,70,70,75
,,,74,71,55,65,64,75,80,60,65,68,70,75,77,74,70
,,,62,72,55,75,64,75,72,60,75,70,70,70,70,72,70
,,,70,64,77,75,72,75,80,73,70,75,70,70,75,68,70
,,,65,71,77,72,70,75,72,72,70,70,73,74,72,70,70
,,,65,60,77,75,74,75,68,75,70,75,68,75,72,70,70
,,,61,64,75,75,70,75,82,72,72,70,70,72,72,70,70
,,,65,64,71,75,75,75,72,72,72,80,65,70,70,70,70
,,,61,66,75,75,70,75,85,73,68,70,65,72,70,70,73
,,,65,77,80,77,78,66,70,74,72,70,80,70,70,70,70
,,,71,77,72,70,65,65,75,74,72,70,70,75,70,70,70
,,,67,70,72,70,75,72,75,74,72,86,70,70,70,75,68
,,,65,70,66,60,75,70,65,82,72,76,90,70,70,70,73
,,,64,70,80,75,75,78,67,75,60,76,70,70,75,65,74
,,,70,70,88,70,70,70,64,75,75,78,70,70,75,71,70
